,gender,city,branch_code,days_since_last_transaction,occupation_company,occupation_retired,occupation_salaried,occupation_self_employed,occupation_student,customer_nw_category,current_balance,previous_month_end_balance,average_monthly_balance_prevQ2,average_monthly_balance_prevQ,current_month_credit,previous_month_credit,current_month_debit,previous_month_debit,current_month_balance,previous_month_balance,vintage,age,dependents
0,1.0,187.0,755,224.0,0,0,0,1,0,-0.3414700942004219,-0.6137382102234268,-0.6323669139475491,-0.6306461617921112,-0.6976116441811793,-0.31393073829580354,-0.3244870708606601,-0.36825077642814075,-0.3773903719763533,-0.6534549321826656,-0.6662074349487175,0.47864443321848554,0.9991471857891349,-0.33087694063583206
1,1.0,1020.0,3214,60.0,0,0,0,1,0,-0.3414700942004219,0.011266709032791112,0.44645798250133967,0.9494139213022245,0.3175952214143285,-0.3138522250825391,-0.3244102246872579,0.6409863689172717,-0.3556769983807231,0.14943964701542012,0.4556804719797066,-1.2759091799410027,-0.741755926397469,-0.33087694063583206
2,1.0,146.0,41,999.0,0,0,1,0,0,-0.3414700942004219,-0.2096511193400823,0.05797536360653596,-0.3886373456608937,-0.1082634419054426,-0.3138413206010807,-0.32439955173632173,0.7298251161841457,-0.321606627243108,-0.06859690369910015,-0.06664231721086174,-0.005177607366024705,-0.9663885860344501,-0.33087694063583206
3,-1.0,1020.0,582,147.0,0,0,0,1,0,-0.3414700942004219,-0.4708359861677133,-0.48853000967985705,-0.7128554078657166,-0.5829761844317194,-0.31387185322999156,-0.3244294360780542,-0.368193465370498,0.06059253426651368,-0.5065696660132809,-0.6280558692045518,-1.1715675845389517,2.3469431436110217,-0.33087694063583206
4,1.0,1494.0,388,58.0,0,0,0,1,0,1.1726581217248149,-0.7082141034486923,-0.642441175581314,-0.5540583682184252,-0.6633985810643214,-0.31390238611033383,-0.1751036420710843,-0.24546283617254036,-0.05792675708784667,-0.7082569869089692,-0.6267315875616224,0.10351155451111174,-0.34864877203275196,1.756000688058876
5,0.0,1096.0,1666,60.0,0,0,0,1,0,-0.3414700942004219,1.1875251956159272,1.2662622981523808,1.104567696471409,1.2166812363390525,-0.3138958433290965,-0.3244529168049166,-0.19071584443475811,-0.3158744041187975,1.2510286457363433,1.216379398664821,-1.3050999834165766,-0.34864877203275196,-0.33087694063583206
6,1.0,1020.0,1,98.0,0,1,0,0,0,-1.8556873687035156,0.23690781989206075,0.3184376688566256,0.8099586289497509,0.3259699021730495,-0.31383477792759873,-0.32439314798082625,-0.10245877178457047,-0.2833270035936436,0.23046733529471436,0.31869131203749995,2.20959697122751,1.3360961752446066,-0.33087694063583206
7,1.0,623.0,317,172.0,0,0,0,1,0,-0.3414700942004219,0.6287686249881987,0.4229086711275352,1.370393020960853,0.1343058321212222,-0.31391547170745804,-0.32447212842171924,-0.27543623152162,0.6873447609478494,0.429957016546693,-0.029314205565409864,-0.7573066075558089,-0.12401611239577083,-0.33087694063583206
8,1.0,1096.0,4110,19.0,0,0,1,0,0,-0.3414700942004219,-0.6318236458451181,-0.6505706409318297,-0.6904415103699949,-0.6525112534999413,-0.16132763399290118,-0.29877274617930694,-0.21972677995183204,-0.30025006465907,-0.7034414329029252,-0.5945031574719137,-0.14429973456875936,-0.9663885860344501,-0.33087694063583206
9,1.0,1020.0,38,0.0,0,0,0,1,0,-0.3414700942004219,-0.0518560021520166,-0.17444212984834337,-0.5552769122588571,-0.5678782958070573,0.9509991718619103,0.47774260096159865,0.011601388610117029,-0.09577145780238684,-0.5884065307579344,-0.49643786195137846,0.6301881789214643,-0.46096510185124256,2.79943950240623
